MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HasShed
20,RL,70.0,11200,Reg,Inside,0.0,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0.0,2.0,2.0,CBlock,2.0,2.0,3.0,3.0,906.0,0.0,134.0,1040.0,4.0,1,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,2.0,5,0,5.0,Detchd,1965.0,Unf,1.0,384.0,2.0,2.0,1,0,0,0,0,0,0,NaN,0,2,2008,WD,Normal,129500.0,0
60,RL,85.0,11924,IR1,Inside,0.0,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,286.0,4.0,2.0,PConc,4.0,2.0,3.0,0.0,998.0,0.0,177.0,1175.0,4.0,1,SBrkr,1182,1142,0,2324,1.0,0.0,3,0,4,1,4.0,11,2,3.0,BuiltIn,2005.0,Fin,3.0,736.0,2.0,2.0,1,147,21,0,0,0,0,NaN,0,7,2006,New,Partial,345000.0,0
20,RL,0.0,12968,IR2,Inside,0.0,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,None,0.0,2.0,2.0,CBlock,2.0,2.0,3.0,1.0,737.0,0.0,175.0,912.0,2.0,1,SBrkr,912,0,0,912,1.0,0.0,1,0,2,1,2.0,4,0,5.0,Detchd,1962.0,Unf,1.0,352.0,2.0,2.0,1,140,0,0,0,176,0,NaN,0,9,2008,WD,Normal,144000.0,0
20,RL,91.0,10652,IR1,Inside,0.0,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,306.0,3.0,2.0,PConc,3.0,2.0,1.0,5.0,0.0,0.0,1494.0,1494.0,4.0,1,SBrkr,1494,0,0,1494,0.0,0.0,2,0,3,1,3.0,7,1,3.0,Attchd,2006.0,RFn,3.0,840.0,2.0,2.0,1,160,33,0,0,0,0,NaN,0,8,2007,New,Partial,279500.0,0
20,RL,0.0,10920,IR1,Corner,0.0,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,212.0,2.0,2.0,CBlock,2.0,2.0,3.0,2.0,733.0,0.0,520.0,1253.0,2.0,1,SBrkr,1253,0,0,1253,1.0,0.0,1,1,2,1,2.0,5,1,1.0,Attchd,1960.0,RFn,1.0,352.0,2.0,2.0,1,0,213,176,0,0,0,GdWo,0,5,2008,WD,Normal,157000.0,0
45,RM,51.0,6120,Reg,Corner,0.0,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,2.0,2.0,BrkTil,2.0,2.0,3.0,5.0,0.0,0.0,832.0,832.0,4.0,1,FuseA,854,0,0,854,0.0,0.0,1,0,2,1,2.0,5,0,5.0,Detchd,1991.0,Unf,2.0,576.0,2.0,2.0,1,48,112,0,0,0,0,GdPrv,0,7,2007,WD,Normal,132000.0,0
20,RL,0.0,11241,IR1,CulDSac,0.0,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,2.0,2.0,CBlock,2.0,2.0,3.0,1.0,578.0,0.0,426.0,1004.0,4.0,1,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,2.0,5,1,2.0,Attchd,1970.0,Fin,2.0,480.0,2.0,2.0,1,0,0,0,0,0,0,NaN,700,3,2010,WD,Normal,149000.0,1
90,RL,72.0,10791,Reg,Inside,0.0,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,None,0.0,2.0,2.0,Slab,5.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,1,SBrkr,1296,0,0,1296,0.0,0.0,2,0,2,2,2.0,6,0,5.0,CarPort,1967.0,Unf,2.0,516.0,2.0,2.0,1,0,0,0,0,0,0,NaN,500,10,2006,WD,Normal,90000.0,1
20,RL,66.0,13695,Reg,Inside,0.0,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,2.0,2.0,PConc,2.0,2.0,3.0,0.0,646.0,0.0,468.0,1114.0,4.0,1,SBrkr,1114,0,0,1114,1.0,0.0,1,1,3,1,3.0,6,0,5.0,Detchd,2004.0,Unf,2.0,576.0,2.0,2.0,1,0,102,0,0,0,0,NaN,0,6,2008,WD,Normal,159000.0,0
20,RL,70.0,7560,Reg,Inside,0.0,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,None,0.0,2.0,2.0,CBlock,2.0,2.0,3.0,4.0,504.0,0.0,525.0,1029.0,2.0,1,SBrkr,1339,0,0,1339,0.0,0.0,1,0,3,1,2.0,6,0,5.0,Attchd,1958.0,Unf,1.0,294.0,2.0,2.0,1,0,0,0,0,0,0,MnPrv,0,5,2009,COD,Abnorml,139000.0,0
60,RL,101.0,14215,IR1,Corner,0.0,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,380.0,3.0,2.0,PConc,4.0,2.0,1.0,5.0,0.0,0.0,1158.0,1158.0,4.0,1,SBrkr,1158,1218,0,2376,0.0,0.0,3,1,4,1,3.0,9,1,3.0,BuiltIn,2005.0,RFn,3.0,853.0,2.0,2.0,1,240,154,0,0,0,0,NaN,0,11,2006,New,Partial,325300.0,0
45,RM,57.0,7449,Reg,Inside,0.0,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,2.0,2.0,PConc,2.0,2.0,3.0,5.0,0.0,0.0,637.0,637.0,4.0,1,FuseF,1108,0,0,1108,0.0,0.0,1,0,3,1,3.0,6,1,3.0,Attchd,1930.0,Unf,1.0,280.0,2.0,2.0,0,0,0,205,0,0,0,GdPrv,0,6,2007,WD,Normal,139400.0,0
20,RL,75.0,9742,Reg,Inside,0.0,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,281.0,3.0,2.0,PConc,3.0,2.0,3.0,5.0,0.0,0.0,1777.0,1777.0,4.0,1,SBrkr,1795,0,0,1795,0.0,0.0,2,0,3,1,3.0,7,1,3.0,Attchd,2002.0,RFn,2.0,534.0,2.0,2.0,1,171,159,0,0,0,0,NaN,0,9,2008,WD,Normal,230000.0,0
120,RM,44.0,4224,Reg,Inside,0.0,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,None,0.0,2.0,2.0,PConc,3.0,2.0,3.0,0.0,840.0,0.0,200.0,1040.0,2.0,1,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,2.0,6,1,2.0,Attchd,1976.0,Unf,2.0,572.0,2.0,2.0,1,100,110,0,0,0,0,NaN,0,6,2007,WD,Normal,129900.0,0
20,RL,0.0,8246,IR1,Inside,0.0,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,None,0.0,2.0,3.0,CBlock,2.0,2.0,2.0,3.0,188.0,668.0,204.0,1060.0,4.0,1,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,3.0,6,1,2.0,Attchd,1968.0,Unf,1.0,270.0,2.0,2.0,1,406,90,0,0,0,0,MnPrv,0,5,2010,WD,Normal,154000.0,0
20,RL,110.0,14230,Reg,Corner,0.0,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,640.0,3.0,2.0,PConc,3.0,2.0,3.0,5.0,0.0,0.0,1566.0,1566.0,4.0,1,SBrkr,1600,0,0,1600,0.0,0.0,2,0,3,1,3.0,7,1,3.0,Attchd,2007.0,RFn,3.0,890.0,2.0,2.0,1,0,56,0,0,0,0,NaN,0,7,2009,WD,Normal,256300.0,0
20,RL,60.0,7200,Reg,Corner,0.0,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,None,0.0,2.0,2.0,CBlock,2.0,2.0,2.0,2.0,234.0,486.0,180.0,900.0,2.0,1,SBrkr,900,0,0,900,0.0,1.0,1,0,3,1,3.0,5,0,5.0,Detchd,2005.0,Unf,2.0,576.0,2.0,2.0,1,222,32,0,0,0,0,NaN,0,5,2010,WD,Normal,134800.0,0
20,RL,98.0,11478,Reg,Inside,0.0,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,200.0,3.0,2.0,PConc,4.0,2.0,3.0,0.0,1218.0,0.0,486.0,1704.0,4.0,1,SBrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,3.0,7,1,3.0,Attchd,2008.0,RFn,3.0,772.0,2.0,2.0,1,0,50,0,0,0,0,NaN,0,5,2010,WD,Normal,306000.0,0
20,RL,47.0,16321,IR1,CulDSac,0.0,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,None,0.0,2.0,2.0,CBlock,2.0,2.0,0.0,2.0,1277.0,0.0,207.0,1484.0,2.0,1,SBrkr,1600,0,0,1600,1.0,0.0,1,0,2,1,2.0,6,2,3.0,Attchd,1957.0,RFn,1.0,319.0,2.0,2.0,1,288,258,0,0,0,0,NaN,0,12,2006,WD,Normal,207500.0,0
30,RM,60.0,6324,IR1,Inside,0.0,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,None,0.0,2.0,2.0,BrkTil,2.0,2.0,3.0,5.0,0.0,0.0,520.0,520.0,1.0,0,SBrkr,520,0,0,520,0.0,0.0,1,0,1,1,1.0,4,0,5.0,Detchd,1920.0,Unf,1.0,240.0,1.0,2.0,1,49,0,87,0,0,0,NaN,0,5,2008,WD,Normal,68500.0,0
70,C (all),50.0,8500,Reg,Inside,0.0,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,None,0.0,2.0,1.0,BrkTil,2.0,2.0,3.0,5.0,0.0,0.0,649.0,649.0,2.0,0,SBrkr,649,668,0,1317,0.0,0.0,1,0,3,1,2.0,6,0,5.0,Detchd,1920.0,Unf,1.0,250.0,2.0,1.0,0,0,54,172,0,0,0,MnPrv,0,7,2008,WD,Normal,40000.0,0
20,RL,0.0,8544,IR1,CulDSac,0.0,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,None,0.0,2.0,2.0,CBlock,2.0,2.0,3.0,5.0,0.0,0.0,1228.0,1228.0,3.0,1,SBrkr,1228,0,0,1228,0.0,0.0,1,1,3,1,3.0,6,0,5.0,Attchd,1966.0,Unf,1.0,271.0,2.0,2.0,1,0,65,0,0,0,0,MnPrv,0,6,2008,WD,Normal,149350.0,0
20,RL,85.0,11049,Reg,Corner,0.0,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,3.0,2.0,PConc,4.0,2.0,1.0,5.0,0.0,0.0,1234.0,1234.0,4.0,1,SBrkr,1234,0,0,1234,0.0,0.0,2,0,3,1,3.0,7,0,5.0,Attchd,2007.0,RFn,2.0,484.0,2.0,2.0,1,0,30,0,0,0,0,NaN,0,1,2008,WD,Normal,179900.0,0
20,RL,70.0,10552,IR1,Inside,0.0,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,None,0.0,2.0,2.0,CBlock,2.0,2.0,3.0,3.0,1018.0,0.0,380.0,1398.0,3.0,1,SBrkr,1700,0,0,1700,0.0,1.0,1,1,4,1,3.0,6,1,3.0,Attchd,1959.0,RFn,2.0,447.0,2.0,2.0,1,0,38,0,0,0,0,NaN,0,4,2010,WD,Normal,165500.0,0
120,RL,60.0,7313,Reg,Inside,0.0,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,246.0,4.0,2.0,PConc,4.0,2.0,3.0,0.0,1153.0,0.0,408.0,1561.0,4.0,1,SBrkr,1561,0,0,1561,1.0,0.0,2,0,2,1,4.0,6,1,3.0,Attchd,2005.0,Fin,2.0,556.0,2.0,2.0,1,203,47,0,0,0,0,NaN,0,8,2007,WD,Normal,277500.0,0
60,RL,108.0,13418,Reg,Inside,0.0,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,132.0,3.0,2.0,PConc,4.0,2.0,1.0,5.0,0.0,0.0,1117.0,1117.0,4.0,1,SBrkr,1132,1320,0,2452,0.0,0.0,3,1,4,1,3.0,9,1,3.0,BuiltIn,2004.0,Fin,3.0,691.0,2.0,2.0,1,113,32,0,0,0,0,NaN,0,9,2006,WD,Normal,309000.0,0
20,RL,112.0,10859,Reg,Corner,0.0,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,None,0.0,2.0,2.0,PConc,3.0,2.0,3.0,5.0,0.0,0.0,1097.0,1097.0,4.0,1,SBrkr,1097,0,0,1097,0.0,0.0,1,1,3,1,2.0,6,0,5.0,Attchd,1995.0,Unf,2.0,672.0,2.0,2.0,1,392,64,0,0,0,0,NaN,0,6,2009,WD,Normal,145000.0,0
20,RL,74.0,8532,Reg,Inside,0.0,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,2.0,2.0,CBlock,2.0,2.0,3.0,3.0,1213.0,0.0,84.0,1297.0,3.0,1,SBrkr,1297,0,0,1297,0.0,1.0,1,0,3,1,2.0,5,1,2.0,Attchd,1954.0,Fin,2.0,498.0,2.0,2.0,1,0,0,0,0,0,0,NaN,0,10,2009,WD,Normal,153000.0,0
20,RL,68.0,7922,Reg,Inside,0.0,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0.0,2.0,3.0,CBlock,2.0,2.0,3.0,0.0,731.0,0.0,326.0,1057.0,2.0,1,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,3.0,5,0,5.0,Detchd,1953.0,Unf,1.0,246.0,2.0,2.0,1,0,52,0,0,0,0,NaN,0,1,2010,WD,Abnorml,109000.0,0
90,RL,65.0,6040,Reg,Inside,0.0,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,None,0.0,2.0,2.0,PConc,5.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,0,FuseP,1152,0,0,1152,0.0,0.0,2,0,2,2,1.0,6,0,5.0,NaN,0.0,NaN,0.0,0.0,5.0,5.0,0,0,0,0,0,0,0,NaN,0,6,2008,WD,AdjLand,82000.0,0
20,RL,84.0,8658,Reg,Inside,0.0,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,2.0,2.0,CBlock,2.0,2.0,3.0,3.0,643.0,0.0,445.0,1088.0,4.0,1,SBrkr,1324,0,0,1324,0.0,0.0,2,0,3,1,2.0,6,1,2.0,Attchd,1965.0,RFn,2.0,440.0,2.0,2.0,1,0,138,0,0,0,0,GdWo,0,12,2006,WD,Abnorml,160000.0,0
20,RL,115.0,16905,Reg,Inside,0.0,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,None,0.0,2.0,3.0,CBlock,2.0,2.0,0.0,2.0,967.0,0.0,383.0,1350.0,3.0,1,SBrkr,1328,0,0,1328,0.0,1.0,1,1,2,1,2.0,5,2,3.0,Attchd,1959.0,RFn,1.0,308.0,2.0,2.0,0,0,104,0,0,0,0,NaN,0,7,2007,WD,Normal,170000.0,0
85,RL,0.0,9180,IR1,CulDSac,0.0,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,None,0.0,2.0,2.0,CBlock,3.0,2.0,1.0,1.0,747.0,93.0,0.0,840.0,3.0,1,SBrkr,884,0,0,884,1.0,0.0,1,0,2,1,3.0,5,0,5.0,Attchd,1983.0,RFn,2.0,504.0,2.0,3.0,1,240,0,0,0,0,0,MnPrv,0,12,2007,WD,Normal,144000.0,0
20,RL,0.0,9200,IR1,CulDSac,0.0,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,None,0.0,2.0,2.0,CBlock,3.0,2.0,1.0,4.0,280.0,491.0,167.0,938.0,2.0,1,SBrkr,938,0,0,938,1.0,0.0,1,0,3,1,2.0,5,0,5.0,Detchd,1977.0,Unf,1.0,308.0,2.0,2.0,1,145,0,0,0,0,0,MnPrv,0,7,2008,WD,Normal,130250.0,0
20,RL,70.0,7945,Reg,Inside,0.0,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,None,0.0,2.0,2.0,CBlock,2.0,2.0,3.0,1.0,179.0,506.0,465.0,1150.0,4.0,1,FuseA,1150,0,0,1150,1.0,0.0,1,0,3,1,2.0,6,0,5.0,Attchd,1959.0,RFn,1.0,300.0,2.0,2.0,1,0,0,0,0,0,0,NaN,0,5,2006,WD,Normal,141000.0,0
120,RL,61.0,7658,Reg,Inside,0.0,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,412.0,4.0,2.0,PConc,4.0,2.0,3.0,0.0,456.0,0.0,1296.0,1752.0,4.0,1,SBrkr,1752,0,0,1752,1.0,0.0,2,0,2,1,4.0,6,1,3.0,Attchd,2005.0,RFn,2.0,576.0,2.0,2.0,1,196,82,0,0,0,0,NaN,0,2,2010,WD,Normal,319900.0,0
50,RL,48.0,12822,IR1,CulDSac,0.0,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,None,0.0,3.0,2.0,PConc,4.0,2.0,3.0,0.0,1351.0,0.0,83.0,1434.0,4.0,1,SBrkr,1518,631,0,2149,1.0,0.0,1,1,1,1,3.0,6,1,4.0,Attchd,2003.0,RFn,2.0,670.0,2.0,2.0,1,168,43,0,0,198,0,NaN,0,8,2009,WD,Abnorml,239686.0,0
20,FV,84.0,11096,Reg,Inside,0.0,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,3.0,2.0,PConc,3.0,2.0,1.0,0.0,24.0,0.0,1632.0,1656.0,4.0,1,SBrkr,1656,0,0,1656,0.0,0.0,2,0,3,1,3.0,7,0,5.0,Attchd,2006.0,RFn,3.0,826.0,2.0,2.0,1,0,146,0,0,0,0,NaN,0,7,2007,WD,Normal,249700.0,0
190,RM,33.0,4456,Reg,Inside,0.0,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,None,0.0,2.0,2.0,BrkTil,2.0,2.0,3.0,5.0,0.0,0.0,736.0,736.0,3.0,1,SBrkr,736,716,0,1452,0.0,0.0,2,0,2,3,2.0,8,0,5.0,NaN,0.0,NaN,0.0,0.0,5.0,5.0,0,0,0,102,0,0,0,NaN,0,6,2009,New,Partial,113000.0,0
20,RL,66.0,7742,Reg,Inside,0.0,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,None,0.0,2.0,2.0,CBlock,2.0,2.0,3.0,2.0,763.0,0.0,192.0,955.0,4.0,1,SBrkr,955,0,0,955,1.0,0.0,1,0,3,1,2.0,6,0,5.0,Attchd,1966.0,Unf,1.0,386.0,2.0,2.0,1,0,0,0,0,0,0,MnPrv,0,1,2007,WD,Normal,127000.0,0
60,RL,0.0,13869,IR2,Corner,0.0,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,VinylSd,None,0.0,2.0,2.0,PConc,3.0,2.0,1.0,0.0,182.0,0.0,612.0,794.0,3.0,1,SBrkr,794,676,0,1470,0.0,1.0,2,0,3,1,2.0,6,0,5.0,Attchd,1997.0,Fin,2.0,388.0,2.0,2.0,1,0,75,0,0,0,0,NaN,0,7,2007,WD,Normal,177000.0,0
50,RM,52.0,6240,Reg,Inside,0.0,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,2.0,2.0,PConc,2.0,2.0,3.0,5.0,0.0,0.0,816.0,816.0,2.0,1,SBrkr,816,0,360,1176,0.0,0.0,1,0,3,1,2.0,6,1,3.0,Detchd,1985.0,Unf,2.0,528.0,2.0,2.0,1,112,0,0,0,0,0,MnPrv,400,9,2006,WD,Normal,114500.0,1
90,RM,110.0,8472,IR2,Corner,1.0,IDOTRR,RRNn,Duplex,1Story,5,5,1963,1963,Gable,Wd Sdng,Wd Sdng,None,0.0,1.0,2.0,CBlock,3.0,2.0,0.0,4.0,104.0,712.0,0.0,816.0,2.0,0,SBrkr,816,0,0,816,1.0,0.0,1,0,2,1,2.0,5,0,5.0,CarPort,1963.0,Unf,2.0,516.0,2.0,2.0,1,106,0,0,0,0,0,NaN,0,5,2010,WD,Normal,110000.0,0
